,tweet_id,tclass
3358,645648981058568192,correfoc
3359,645648982069354496,correfoc
3196,645650221628805120,barca
3199,645651283794378752,barca
3371,645651460072566784,barca
3373,645651515424808960,correfoc
3277,645651762859212800,barca
3274,645651817817374720,vanvanmarket
3376,645651947446517760,correfoc
3381,645652523764875264,correfoc
3384,645652731215126528,barca
3383,645652813536739328,barca
3281,645652922886393856,barca
3389,645653346200748032,barca
3290,645654199456411648,barca
3397,645654212848787456,barca
3291,645654588322893824,barca
3292,645654593674809344,barca
3400,645654943798558720,barca
3216,645655405155237888,correfoc
3406,645655744596066304,barca
3300,645656039908577280,40principales
3305,645656898612629504,barca
3304,645656933865754624,barca
3221,645657109233815552,barca
3306,645657155908014080,barca
3419,645658191808831488,barca
3311,645658408994140160,40principales
3421,645658543341834240,barca
3225,645658610035519488,barca
3313,645658790294106112,barca
3424,645658988512694272,barca
3423,645659019286286336,barca
3426,645659089998102528,barca
3228,645659901616869376,barca
3229,645660213807349760,barca
3432,645660249488248832,barca
3433,645660332610990080,barca
3231,645660497031860224,barca
3322,645660700124299264,barca
3235,645660789538426880,barca
3234,645660889388052480,barca
3323,645660950809415680,barca
103,645661260051312640,barca
0,645661328015785984,barca
2,645661620648153088,barca
4,645661941248229376,barca
9,645662709535637504,barca
111,645662918185496576,barca
10,645663144430469120,barca
114,645663464879468544,barca
16,645663498538745856,40principales
14,645663504440147968,barca
19,645663821873442816,barca
20,645663847706161152,barca
117,645663863820677120,barca
118,645664012521369600,barca
119,645664206642118656,barca
121,645664465376120832,barca
125,645664686344679424,barca
123,645664689205190656,barca
34,645664936832696320,barca
127,645665012279836672,barca
128,645665148129157120,barca
37,645665512836481024,barca
135,645665632021839872,barca
41,645665966584672256,correfoc
139,645666364057907200,barca
43,645666485126438912,40principales
44,645666484165980160,barca
45,645666580110647296,barca
141,645666653129338880,barca
47,645666847803711488,correfoc
143,645667089630527488,40principales
49,645667167204151296,barca
148,645667441742360576,barca
54,645667534734274560,barca
53,645667537066307584,barca
55,645667582985564160,correfoc
56,645667815664545792,barca
62,645668613026938880,barca
159,645668743067140096,barca
163,645669196848844800,barca
68,645669219602964480,barca
69,645669257188012032,correfoc
70,645669620427436032,barca
168,645669678858272768,correfoc
73,645669757602168832,barca
173,645670376731725824,barca
188,645671974648324096,vins1
94,645672564380041216,barca
95,645672566502330368,correfoc
99,645673100537896960,barca
101,645673249217638400,barca
2909,645673993052270592,correfoc
2912,645674088191643648,barca
2913,645674303502053376,barca
2915,645674439829520384,barca
2929,645675757843447808,barca
2952,645677271823589376,barca
2954,645677278324723712,barca
2958,645677666083991552,barca
2982,645679370661666816,barca
2992,645680266216906752,barca
2999,645680701245890560,barca
3001,645681003097423872,barca
3004,645681049033420800,40principales
3006,645681334858448896,barca
335,645681537430765568,40principales
338,645681716443619328,correfoc
341,645681827672399872,barca
342,645681956185874432,40principales
343,645682136620662784,barca
345,645682256657432576,barca
348,645682420365295616,barca
351,645682625185771520,barca
352,645682732555702272,40principales
364,645683130314137600,correfoc
370,645683583923920896,barca
371,645683690270539776,correfoc
373,645683840644685824,barca
377,645684175111065600,barca
378,645684377960235008,barca
381,645684620005126144,correfoc
386,645684871931764736,SagradaFamilia
390,645685267790176256,barca
392,645685447595819008,vanvanmarket
397,645685691871944704,correfoc
408,645686482066382848,40principales
415,645686846056439808,barca
420,645687089409953792,correfoc
424,645687439684706304,barca
433,645688320622772224,barca
3116,645690395356065792,barca
3068,645691445995696128,correfoc
3015,645691786417930240,correfoc
3017,645692627753418752,correfoc
3019,645692703380934656,barca
3020,645692707734622208,40principales
3076,645693783649050624,correfoc
3028,645694055192498176,correfoc
3131,645694531292106752,40principales
3134,645694907890331648,barca
3080,645694987175235584,barca
3136,645695258148253696,correfoc
3140,645695868616597504,barca
3139,645695877017763840,barca
3141,645695939617800192,barca
3039,645696470146879488,correfoc
3143,645696524907769856,correfoc
3086,645696761365835776,correfoc
3090,645697350606831616,correfoc
3091,645697669994668032,correfoc
3045,645697896088629248,correfoc
3046,645698125756153856,40principales
3051,645698763026120704,correfoc
3096,645698816679612416,barca
3052,645698967095803904,barca
3100,645699559868334080,barca
3105,645699674062503936,barca
3107,645700295045988352,correfoc
3110,645700331876171776,correfoc
3158,645700504689881088,correfoc
3159,645700954008891392,barca
8080,645701944862838784,correfoc
8085,645702414473932800,barca
8086,645702469293441024,correfoc
8042,645702738316099584,correfoc
8043,645702864195612672,barca
8093,645703234770726912,correfoc
8097,645703395890692096,barca
8098,645703501885120512,correfoc
8107,645704050437042176,barca
8051,645704444739346432,barca
8111,645704989810102272,barca
8114,645705319289479168,40principales
8059,645705572226957312,correfoc
8062,645706130652397568,barca
8127,645706220955791360,barca
8064,645706248352993280,barca
8067,645706759508594688,barca
8131,645706813766168576,barca
8138,645708339796537344,castellers
6384,645708805230100480,barca
6386,645708847835779072,barca
6391,645709132499017728,barca
6397,645709283351359488,40principales
6405,645710114029068288,40principales
6406,645710271915253760,correfoc
6429,645711706090397696,barca
6433,645711808519475200,correfoc
6446,645712657186582528,40principales
6447,645712683526848512,barca
6459,645713398110400512,barca
6458,645713430230499328,40principales
4620,645714610205650944,barca
4135,645715329218408448,barca
4324,645717313174564864,barca
4436,645717857431588864,correfoc
4138,645717982010822656,barca
4266,645718086117666816,barca
4561,645718275901538304,barca
4562,645718279290494976,barca
4437,645718900085248000,40principales
4440,645719556384800768,40principales
4141,645721286472269824,barca
4445,645721708117291008,barca
4143,645721912245678080,barca
4390,645724439062167552,correfoc
4450,645726989328977920,correfoc
4634,645728225272971264,barca
4335,645730037187125248,barca
4280,645731709405806592,barca
4284,645733784533475328,barca
4286,645737058963734528,correfoc
4581,645738194307301376,correfoc
4349,645740047111729152,40principales
4220,645740619281899520,barca
4159,645741034929004544,barca
4350,645741426693799936,barca
4222,645742019420286976,barca
4398,645742874013921280,barca
4458,645743429071323136,barca
4352,645744760997715968,barca
4225,645745153148354560,castellers
4353,645745812027363328,barca
4516,645747692551970816,barca
4400,645749081525121024,40principales
4651,645776857506390016,correfoc
4251,645846285640167424,correfoc
4185,645846835832221696,correfoc
4427,645859940230397952,correfoc
4428,645860808531017728,correfoc
3625,645862249056350208,DrupalCon
3759,645862585993162752,correfoc
3834,645863186835611648,correfoc
3627,645863435683676160,correfoc
3948,645864081812004864,correfoc
3836,645867492984909824,correfoc
3568,645869010496712704,castellers
4097,645890831891566592,DrupalCon
3722,645900556205211648,correfoc
3620,645939865121607680,40principales
5041,645948892027179008,vanvanmarket
4942,645972254740889600,DrupalCon
4845,645974440187183104,DrupalCon
4945,645974606625509376,DrupalCon
5069,645974811009777664,DrupalCon
4996,645977478905888768,DrupalCon
4998,645979534588805120,DrupalCon
5079,645982883841220608,DrupalCon
5081,645986347598118912,DrupalCon
4743,645988015375032320,DrupalCon
4859,645990444577505280,DrupalCon
4912,645991437201444864,DrupalCon
5150,645993937744855040,DrupalCon
4752,645996612448296960,DrupalCon
5233,646008371036991488,DrupalCon
5533,646016137520631808,DrupalCon
5469,646017271941492736,vins1
5470,646017761529982976,DrupalCon
5312,646026295630004224,correfoc
5375,646029225229688832,correfoc
5317,646029262563246080,correfoc
5316,646029292195966976,correfoc
5339,646041073769410560,40principales
5576,646046757135216640,40principales
5749,646055377323335680,40principales
6321,646315502806126592,vins1
6362,646336330042114048,vins1
6680,646348776773390336,vins1
6864,646373271462629376,vins1
6907,646379674126389248,vins1
6913,646380545182695424,vins1
7194,646428513231347712,castellers2
7530,646547984562429952,vins1
10896,646707933481443328,vins1
11170,646733522099695616,vins1
11155,646751058342096896,vins1
7878,646758478149722112,vins1
7896,646763178681081856,vins1
7810,646770369295200256,castellers2
11708,646801969672253440,Bogatell
11653,646813360449826816,Bogatell
11739,646829888478027776,Bogatell
11666,646832516595339264,Bogatell
11484,646838777378406400,Bogatell
11540,646838958765293568,Bogatell
11813,646841509304758272,Bogatell
11812,646841683691327488,Bogatell
11861,646841836959604736,Bogatell
11602,646842313252163584,Bogatell
11600,646842348660518912,Bogatell
11904,646842943354077184,Bogatell
11436,646844190090002432,Bogatell
11604,646845943673946112,Bogatell
11546,646847463895269376,Bogatell
11672,646848243591217152,Bogatell
11816,646849007814344704,Bogatell
11490,646854356101373952,Bogatell
11612,646859688299110400,Bogatell
11495,646862970354577408,Bogatell
11910,646864605856317440,Bogatell
11749,646865687735087104,Bogatell
11757,646890257129021440,Bogatell
11560,646937483423444992,gegants
11457,646938137789378560,gegants
12054,646974613231128576,Bogatell
12278,646977439013466112,Bogatell
12168,646978662982680576,Bogatell
12172,646980433960398848,Bogatell
12173,646982336383447040,Bogatell
12116,646985243778543616,Bogatell
11958,646985494463676416,Bogatell
12346,646986153787281408,Bogatell
12065,646986568599777280,Bogatell
12291,646987595885449216,Bogatell
12237,646988408011780096,Bogatell
12183,646991161232609280,Bogatell
12243,646992753331732480,vins2
11968,646993035511918592,Bogatell
12187,646993090721546240,Bogatell
12299,646994006652649472,Bogatell
12024,646994246403231744,gegants
12071,646994558572724224,Bogatell
12027,646995295461601280,Bogatell
12302,646996557020200960,Bogatell
12356,646997037788098560,Bogatell
12304,646997273126305792,Bogatell
12193,646998069150679040,Bogatell
12305,646998225292017664,castellers2
12308,647000865434419200,Bogatell
12195,647001423843078144,Bogatell
12033,647001612117016576,Bogatell
12311,647002206349225984,Bogatell
12085,647002314767769600,Bogatell
12358,647003303440740352,castellers2
12037,647003440443432960,Bogatell
8788,647005793506717696,Bogatell
8708,647006337600237568,Bogatell
9198,647006750432956416,Bogatell
9199,647006766128078848,Bogatell
8709,647007186183397376,Bogatell
9025,647007874812628992,castellers2
9110,647008150974013440,vins2
9111,647008212022112256,vins2
8791,647008831143288832,castellers2
8952,647009196647546880,vanvanmarket2
8951,647009265564164096,vins2
8954,647009738367045632,vanvanmarket2
9027,647010042160500736,Bogatell
9033,647012404832903168,Bogatell
9035,647013692672987136,Bogatell
8960,647013794422595584,castellers2
9038,647014217191673856,Bogatell
9037,647014250649661440,vins2
9041,647014833716641792,castellers2
9123,647015508940865536,vins2
8966,647015907047436288,Bogatell
8803,647016303228809216,vanvanmarket2
8967,647016429175316480,castellers2
8727,647016701930917888,vins2
8730,647017544063258624,vanvanmarket2
8728,647017616993873920,castellers2
8883,647017700116561920,Bogatell
8732,647018420131774464,castellers2
8807,647019641538260992,Bogatell
8736,647020226673012736,vins2
9137,647021218051309568,Bogatell
8975,647022122578124800,Bogatell
8738,647022422152097792,Bogatell
8891,647022565286920192,gegants
8810,647022576485670912,Bogatell
9223,647024418028396544,Bogatell
8814,647024710333673472,gegants
8816,647025699744796672,Bogatell
8817,647025699937779712,Bogatell
9226,647026123524730880,castellers2
9154,647027484328882176,vins2
9156,647029007326801920,castellers2
8825,647030107060731904,castellers2
9064,647030189311004672,vins2
8910,647033739596427264,vins2
9070,647035241882910720,Bogatell
9174,647035942025449472,Bogatell
8765,647036183403474944,castellers2
9237,647036394943180800,castellers2
9238,647036411170955264,vanvanmarket2
8915,647036428652834816,castellers2
8831,647036940605370368,castellers2
8833,647038499884023808,vanvanmarket2
9004,647041725576413184,Bogatell
9084,647042226040778752,castellers2
9005,647042250430619648,Bogatell
8841,647042386091220992,gegants
8921,647042632577908736,castellers2
8925,647043587159531520,vins2
9088,647044588012744704,castellers2
9243,647044680962736128,castellers2
9008,647045713763921920,vanvanmarket2
9009,647046494441336832,Bogatell
8846,647046838835478528,castellers2
9011,647047073376915456,Bogatell
8847,647047598973583360,Bogatell
9191,647048602389512192,vanvanmarket2
9093,647048841070575616,vins2
9019,647051828065124352,Bogatell
9021,647052293624496128,Bogatell
8859,647054283444232192,vanvanmarket2
8567,647056618073554944,vanvanmarket2
8646,647057695053344768,gegants
8233,647058536015466496,vins2
8356,647059670331469824,Bogatell
8242,647063478990172160,Bogatell
8244,647063999662657536,castellers2
8310,647064861839618048,vanvanmarket2
8439,647065186738794496,vanvanmarket2
8247,647065965428101120,vanvanmarket2
8248,647065998730915840,vanvanmarket2
8587,647066919644856320,Bogatell
8373,647068274530877440,vanvanmarket2
8376,647068802467893248,vanvanmarket2
8251,647068989655547904,Bogatell
8664,647070341832015872,vins2
8254,647070553002639360,Bogatell
8593,647071778611793920,castellers2
8386,647071878889259008,vins2
8260,647072040055369728,Bogatell
8264,647072512673771520,Bogatell
8321,647072826491568128,Bogatell
8322,647072858523484160,vins2
8271,647075014244716544,vanvanmarket2
8328,647075315332812800,castellers2
8274,647077535797354496,vins2
8278,647079231667761152,Bogatell
8282,647080956294242304,vanvanmarket2
8403,647081667031638016,Bogatell
8405,647081740901711872,vins2
8287,647083940600283136,vins2
8416,647087394370531328,vanvanmarket2
8288,647087841005203456,Bogatell
8639,647090229413871616,vins2
8474,647091052516651008,gegants
8491,647092306588377088,vanvanmarket2
8507,647093672119541760,vins2
8509,647094042652712960,vanvanmarket2
8518,647094327311773696,vins2
8541,647096101187788800,piromusical
10343,647099664320307200,castellers2
10083,647100799479336960,vanvanmarket2
10015,647101060302139392,vanvanmarket2
10278,647101707223220224,castellers2
10345,647101774516629504,piromusical
10350,647104171255164928,vanvanmarket2
10227,647104404705951744,gegants
10353,647105067062009856,vanvanmarket2
10355,647105588539863040,vanvanmarket2
10363,647108914505453568,vanvanmarket2
10177,647112614498201600,correfoc
10042,647114202893692928,vanvanmarket2
10186,647115713501655040,vanvanmarket2
10313,647116623564947456,gegants
10250,647118402138599424,piromusical
10385,647120221472489472,vanvanmarket2
10387,647120819022336000,vanvanmarket2
10056,647121417415192576,vanvanmarket2
10121,647121669929238528,piromusical
10326,647121858647752704,Bogatell
10199,647122869579874304,vanvanmarket2
10200,647123175982039040,piromusical
10395,647123706867683328,piromusical
10261,647123850950479872,piromusical
10331,647124854135656448,vanvanmarket2
10403,647127146725400576,vins2
10068,647127294092443648,piromusical
10407,647128415032750080,piromusical
10267,647129353176879104,piromusical
10071,647129617568952320,piromusical
10073,647129951309721600,vanvanmarket2
10076,647130798806712320,piromusical
10338,647131785206173696,piromusical
10598,647132456978518016,vanvanmarket2
10599,647132466021470208,piromusical
10532,647132562448515072,piromusical
10479,647133248326234112,vanvanmarket2
10604,647135440823316480,piromusical
10426,647135537028026368,piromusical
10672,647135711632728064,piromusical
10608,647136228152844288,castellers2
10484,647136423083048960,piromusical
10546,647136510526013440,piromusical
10545,647136550170587136,castellers2
10548,647136769700290560,piromusical
10549,647136785462484992,piromusical
10612,647137770033561600,piromusical
10431,647137950115975168,piromusical
10615,647138042214547456,piromusical
10556,647139553397108736,vanvanmarket2
10681,647139798071775232,piromusical
10440,647139863104499712,piromusical
10495,647140040682835968,vanvanmarket2
10557,647141304477073408,piromusical
10687,647142326779924480,piromusical
10504,647142751222538240,piromusical
10690,647142988246814720,piromusical
10506,647143236947984384,piromusical
10691,647143411347144704,piromusical
10449,647143480402165760,piromusical
10563,647144234173222912,piromusical
10701,647146570287202304,vanvanmarket2
10702,647146841948200960,piromusical
10648,647147071510855680,piromusical
10576,647147716141785088,piromusical
10577,647147726594015232,piromusical
10463,647147837793431552,vins2
10705,647148013358575616,piromusical
10581,647149510871904256,castellers2
10707,647149627419033600,piromusical
10583,647149721933455360,piromusical
10584,647149732456996864,piromusical
10585,647149983163129856,piromusical
10470,647150260737974272,piromusical
10657,647150281529139200,piromusical
10588,647150936993894400,piromusical
10473,647151362824912896,piromusical
10591,647151428860006400,piromusical
10662,647151547541884928,piromusical
10475,647151637362946048,piromusical
10476,647151799137370112,piromusical
10593,647151999255883776,piromusical
10596,647153002516738048,piromusical
